Qty,Value,Device,Package,Parts,Description
2,,31-XX,B3F-31XX,"S1, S3",WEALTH METAL FACTORY TC-0203-X
1,,ESP12ESMD,ESP12E-SMD,ESP12E/ESP07/ESP08,ESP12E/ESP07/ESP08 Module
1,,M06LONGPADS,1X06_LONGPADS,JP1,Header 6
1,,MA03-1,MA03-1,SV1,PIN HEADER
2,,MA04-2,MA04-2,"SV3, SV4",PIN HEADER
1,,SJ,SJ,SJ1,SMD solder JUMPER
2,100R,R-EU_M1206,M1206,"R1, R2","RESISTOR, European symbol"
3,100n,C-EUC1206,C1206,"C2, C5, C8","CAPACITOR, European symbol"
1,100n,C-EUC1206,C1206,C4,"CAPACITOR, European symbol"
1,10u,CPOL-EUSMCB,SMC_B,C1,"POLARIZED CAPACITOR, European symbol"
5,1k,R-EU_M1206,M1206,"R3, R5, R7, R11, R13","RESISTOR, European symbol"
3,1u,C-EUC1206,C1206,"C3, C6, C9","CAPACITOR, European symbol"
2,4k7,R-EU_M1206,M1206,"R4, R8","RESISTOR, European symbol"
1,4k7,R-EU_M1206,M1206,R9,"RESISTOR, European symbol"
1,560R,R-EU_M1206,M1206,R6,"RESISTOR, European symbol"
2,FEMALE 2x3,CONN_03X2FEMALE,2X3,"SV2, SV5",Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections
2,JUMPER-SMT_2_NC_PASTE_SILK,JUMPER-SMT_2_NC_PASTE_SILK,SMT-JUMPER_2_NC_PASTE_SILK,"JP2, JP3",Normally closed solder jumper
1,LFDPAK,LFDPAK?C,DPAK,LF33CDT,LF??C - stabilizátory low-drop
1,POWER_JACKPTH,POWER_JACKPTH,POWER_JACK_PTH,J1,PC-GK2.1
1,RED,LEDCHIPLED_0805,CHIPLED_0805,LED1,LED
1,TBS,R-EU_M1206,M1206,R12,"RESISTOR, European symbol"
